id,school,stratum,gender,age,bullied,escs,skip_sch,CM033Q01S,CM474Q01S,CM155Q01S,CM155Q04S,CM411Q01S,CM411Q02S,CM803Q01S,CM442Q02S,CM034Q01S,CM305Q01S,CM496Q01S,CM496Q02S,CM423Q01S,CM192Q01S,CM603Q01S,CM571Q01S,CM564Q01S,CM564Q02S,CM447Q01S,CM273Q01S,CM408Q01S,CM420Q01S,CM446Q01S,CM559Q01S,CM828Q03S,CM464Q01S,CM800Q01S,CM982Q01S,CM982Q02S,CM982Q03S,CM982Q04S,CM992Q01S,CM992Q02S,CM915Q01S,CM915Q02S,CM906Q01S,CM909Q01S,CM909Q02S,CM909Q03S,CM949Q01S,CM949Q02S,CM00GQ01S,CM955Q03S,CM905Q01S,CM919Q01S,CM919Q02S,CM954Q01S,CM954Q04S,CM943Q01S,CM943Q02S,CM953Q03S,CM948Q01S,CM948Q02S,CM948Q03S,CM936Q01S,CM939Q02S,CM967Q01S,CM967Q03S
9602278,9600002,BRN02,1,16.25,-1.228,0.0023,0,,,,,,,1,1,,,,,,,,,,,,,0,,,,0,,,1,0,1,1,1,0,,,,,,,,,0,,,,,,,,,,,,,,,,
9602285,9600002,BRN02,1,15.33,0.2988,-0.0385,1,,,,,,,,,,,0,1,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
9602319,9600002,BRN02,1,16.17,0.8815,-2.1574,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0,,,,,,,0,,,,,,,,,
9602376,9600002,BRN02,1,15.58,0.379,-0.0518,0,1,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,,,,,
9602379,9600002,BRN02,1,16.08,0.9271,0.0148,1,,0,1,0,1,1,,,,,,,,,,,0,1,,,,,,0,1,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
9602395,9600002,BRN02,1,15.83,1.0916,-0.9246,0,,,,,,,,,,,0,0,,,,,,,0,,,,,1,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,
9602412,9600002,BRN02,1,15.83,0.7834,-0.8545,0,,,0,0,,,,,,,,,0,,,,,,,,,,,,,,1,1,0,0,0,,,,,1,,,,,,,,,,,,,,,1,,,,,,,
9602434,9600002,BRN02,1,15.42,-1.228,-1.3449,0,,,1,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1,0,,,,1,0,0,,,,,,,,0,0,0,0,,,,,,,,
9602437,9600002,BRN02,1,16,1.2001,0.5603,0,,,,,,,,,,0,,,,,0,,,,,1,,,0,,,0,,1,0,0,0,,,0,1,0,,,,,,,,,,,1,0,,,,,,,,,,
9602467,9600002,BRN02,1,15.58,-1.228,-0.5323,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9602520,9600002,BRN02,1,16.17,0.4079,0.2259,0,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,1,1,0,0
9602566,9600002,BRN02,1,15.75,-1.228,0.9052,0,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,,,,,,,,
