score,school,gender,age,bullied,escs,skip_sch
48,AF,M,15.92,1.7879,-0.7009,0
54,AF,F,16,-1.228,0.2003,1
36,AF,M,15.33,-0.1879,-0.1193,1
56,AF,F,15.5,-1.228,-1.1447,0
42,AF,M,16.17,1.2065,-0.8458,0
36,AF,F,15.42,0.6261,0.7253,0
21,AF,F,16.08,-0.1325,0.6952,0
52,AF,F,16,0.0959,-1.0196,0
50,AF,F,15.75,-1.228,-1.2315,0
45,AF,M,15.58,-1.228,-1.2054,0
52,AF,F,16,0.6502,-0.9,0
12,AF,F,15.5,-0.391,0.103,0
48,AF,M,15.92,0.8892,-0.6426,0
85,AF,M,15.58,1.0845,0.5374,0
41,AF,M,16.08,0.843,0.1032,0
61,AF,F,15.5,-0.2016,-0.6302,0
38,AF,F,15.92,0.5381,-0.8194,1
20,AF,M,15.5,1.7181,-1.2069,0
47,AF,M,15.92,0.475,-1.7134,0
43,AF,F,15.33,-1.228,-0.5651,0
48,AF,F,15.67,-0.1325,-0.9814,0
46,AF,F,15.67,-1.228,-0.7654,0
58,AF,F,15.5,2.2011,-1.0919,0
48,AF,F,15.58,-0.1325,-1.9415,0
57,AF,M,15.83,1.1306,0.0068,0
47,AF,M,15.75,0.5729,1.2827,0
19,AF,F,16,-1.228,-0.0019,1
23,AF,F,15.5,1.1204,-0.5033,1
78,AF,F,15.92,-1.228,0.6838,1
46,AF,F,16.08,0.0102,-0.2077,0
29,AF,F,16,0.5238,-0.5974,0
19,AF,M,15.75,1.434,-0.8241,0
63,AF,M,15.92,1.1354,-1.1172,0
62,AF,M,15.92,1.8133,-0.6813,0
34,AF,F,15.5,2.232,-0.5885,0
27,AF,F,15.5,1.2219,-0.9435,0
26,AF,M,15.58,1.2406,-0.6,0
38,AF,M,15.92,-0.1325,-0.6263,0
72,AF,F,16.08,-1.228,-1.8103,0
64,AF,F,15.33,1.0541,0.0261,0
57,AF,M,15.33,0.4452,-0.0935,0
60,AF,F,15.67,0.2652,0.5677,0
91,AF,M,16,-1.228,-1.1529,0
29,AF,M,15.5,1.6369,-1.1498,0
60,AF,F,16.08,-1.228,-0.2031,0
36,AF,M,15.83,1.1759,-1.3422,0
74,AF,M,16.17,-1.228,0.3219,0
72,AF,M,15.75,0.2988,0.5425,0
61,AF,M,15.83,0.7726,-0.7934,0
24,AF,F,15.42,-1.228,-0.1622,0
36,AF,F,15.5,1.1392,-0.5542,1
54,AF,M,15.42,-1.228,0.3805,0
55,AF,F,15.42,1.4633,-1.2088,0
63,AF,F,16,-1.228,-0.5573,0
